,firm,tv,radio,newpaper,magazine
0,회사명,TV,라디오,신문,잡지
1,삼성전자,7597926,401512,7192464,289000
2,LG전자,12913571,0,1135883,62100
3,한화공동,6380516,120920,855486,60500
4,KT,4852147,67687,1993508,22300
5,대웅제약,6033183,0,351571,6000
6,현대자동차,3969153,469857,1853359,57100
7,동국제약,5160660,0,0,34100
8,SK텔레콤,3162499,0,1608295,3000
9,기아자동차,3002932,527395,1079222,95800
10,LG생활건강,3245701,191908,80036,1124500
11,아모레퍼시픽,2298541,0,1562461,221500
12,동서식품,2443020,297874,718103,193500
13,명인제약,2967465,19488,536998,0
14,피플라이프,1844611,134383,1479828,0
15,삼성화재,0,0,3406701,24300
16,한국인삼공사,2741925,28240,451785,94500
17,농협중앙회,2493521,0,757144,50300
18,하나금융그룹,0,0,3048258,22000
19,바디프랜드,1884738,0,1010671,86900
20,다이슨코리아,2907470,0,0,41000
21,KCC건설,2941762,0,0,0
22,레이니스트,2816578,0,0,0
23,애플,2800203,0,0,0
24,롯데하이마트,2423536,65326,169231,12300
25,기업은행,0,279826,2296457,42800
26,롯데케미칼,1509341,0,1021239,0
27,SK이노베이션,0,0,2469586,0
28,쌍용자동차,1688791,324434,369850,1500
29,우리은행,0,0,2299618,48300
30,서울우유,2278356,0,1890,58700
31,삼성생명보험,0,0,2312396,21300
32,현대해상화재보험,1920392,203595,166141,39300
33,웅진코웨이,2175302,0,106115,28500
34,볼보자동차코리아,1872570,0,900,372900
35,한국피앤지,2176893,55579,0,5000
36,경기도청,1606550,0,615342,10000
37,종근당건강,1534705,266123,388981,0
38,에이스침대,2015488,84909,0,63500
39,명보INC,853494,0,912963,374300
40,국민은행,0,0,2082334,32500
41,귀뚜라미,2070992,20935,10017,0
42,일동제약,1410823,0,622012,2000
43,콘텐츠연합플랫폼,1987885,0,0,0
44,현대모비스,1720696,0,199299,38600
45,한국관광공사,1592635,0,321847,1500
46,서울특별시,147400,54120,1694955,5000
47,SK하이닉스,0,0,1888948,0
48,신한금융지주회사,0,0,1749231,71600
49,광동제약,1656464,159313,0,0
50,와이씨네트웍스,1805384,0,0,0
51,KB금융지주,0,0,1729818,34400
52,AIA생명보험,583726,0,1136376,0
53,SSG닷컴,1716522,0,0,0
54,현대엘리베이터,1708595,0,0,0
55,기상청,1689050,0,0,0
56,대한항공,1365072,203206,67961,32800
57,장스푸드,1403484,212010,0,0
58,동화약품,1355117,10019,236114,1500
59,샤넬코리아,1130995,0,0,466500
60,템퍼코리아,1382333,0,206795,3000
61,하이모,1168100,0,377980,15000
62,농심,1549178,0,0,5500
63,LG,0,0,1446693,64100
64,인코미디어넷,1503292,0,0,0
65,새마을금고중앙회,1420005,18680,40777,0
66,동아제약,1358640,19076,24759,76800
67,비어케이,1466981,0,0,0
68,직방,1421940,0,0,0
69,보맵,1313373,43912,0,8000
70,롯데칠성음료,1107767,0,251380,3000
71,신한은행,0,0,1274939,40900
72,롯데쇼핑,0,0,1285785,10500
73,이마트,0,0,1261552,0
74,아이더,1252328,0,3780,0
75,정식품,926334,42975,278953,0
76,롯데컬처웍스,1215415,0,0,24300
77,GC녹십자,1108685,0,96980,9500
78,한국주택금융공사,903650,0,298103,0
79,에프씨에이코리아,963253,229590,1962,0
80,WB,1139444,0,0,13000
81,현대백화점,0,146514,987237,4000
82,휴테크산업,1029007,104312,0,0
83,호반건설,1094294,0,7034,15000
84,현대자동차그룹,0,0,1097257,1500
85,맥도날드,989213,91773,0,0
86,쿠쿠전자,1022124,14296,0,38500
87,지피클럽,1061496,0,0,0
88,보건복지부,954250,0,100978,0
89,사노피아벤티스코리아,1039999,0,0,6000
90,유한양행,0,399410,624551,17000
91,하이트진로,972811,0,58422,6300
92,CJ제일제당,133209,0,883413,9500
93,LOK,653590,0,0,367400
94,구글코리아,1004100,0,0,0
95,한국가스공사,229900,0,758299,2500
96,동원F&B,968138,0,0,5500
97,SK(주),0,0,959321,4500
98,어린이재단,292914,0,657228,5600
99,케이티스카이라이프,929695,0,0,0
100,경북도청,272250,0,643796,7000
